City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,alyangula,-13.85,136.42,57.2,93,0,9.89,AU,1598045575
280,kloulklubed,7.04,134.26,82.76,73,93,10.74,PW,1598045575
281,schwerte,51.45,7.57,75.2,64,55,10.29,DE,1598045575
282,mahebourg,-20.41,57.7,69.8,77,40,4.7,MU,1598045575
283,cockburn town,21.46,-71.14,86.0,70,40,13.87,TC,1598045571
284,gryazovets,58.88,40.25,52.41,94,0,2.35,RU,1598045576
285,fernie,49.5,-115.07,80.6,31,40,10.29,CA,1598045576
286,arlit,18.74,7.39,98.13,21,17,9.22,NE,1598045576
287,kokopo,-4.35,152.26,79.57,83,1,6.42,PG,1598045576
288,dmytrivka,45.97,28.99,73.17,58,0,10.87,UA,1598045576
289,valparaiso,-33.04,-71.63,55.4,71,0,4.7,CL,1598045452
290,itarema,-2.92,-39.92,78.48,82,4,14.36,BR,1598045576
291,leningradskiy,69.38,178.42,43.59,80,100,2.75,RU,1598045577
292,westport,41.14,-73.36,82.99,61,1,12.75,US,1598045395
293,saint-georges,12.06,-61.75,86.0,74,40,13.87,GD,1598045577
294,salinopolis,-0.61,-47.36,78.89,86,11,12.01,BR,1598045577
295,goderich,43.75,-81.72,75.0,80,0,3.69,CA,1598045577
296,sao filipe,14.9,-24.5,77.81,74,51,3.98,CV,1598045578
297,washougal,45.58,-122.35,75.2,60,90,4.43,US,1598045578
298,brae,60.4,-1.35,55.4,93,83,2.24,GB,1598045578
299,brandon,27.94,-82.29,80.6,88,1,4.7,US,1598045410
300,husum,54.49,9.05,68.0,77,47,5.82,DE,1598045578
301,upernavik,72.79,-56.15,44.51,70,18,10.18,GL,1598045579
302,wum,6.38,10.07,63.48,100,96,1.32,CM,1598045579
303,caranavi,-15.82,-67.55,56.21,76,99,1.07,BO,1598045579
304,bilma,18.69,12.92,93.22,35,80,11.36,NE,1598045579
305,chakia,26.42,85.05,79.7,84,61,17.02,IN,1598045579
306,mae hong son,19.3,97.97,73.71,88,100,1.23,TH,1598045580
307,linjiang,41.81,126.91,64.87,88,43,2.04,CN,1598045580
308,ponta do sol,32.67,-17.1,73.99,88,75,8.05,PT,1598045580
309,krasnoarmeysk,51.02,45.7,62.01,49,0,5.99,RU,1598045580
310,kenai,60.55,-151.26,71.6,40,1,8.05,US,1598045581
311,strezhevoy,60.73,77.59,55.4,93,75,8.95,RU,1598045581
312,mehamn,71.04,27.85,57.2,82,75,10.29,NO,1598045581
313,santa ana,33.75,-117.87,90.0,65,75,12.75,US,1598045522
314,chernyshevskiy,63.01,112.47,45.59,67,48,2.42,RU,1598045581
315,sao joao da barra,-21.64,-41.05,69.8,73,90,9.17,BR,1598045581
316,mandera,3.94,41.87,79.61,58,100,21.23,KE,1598045582
317,babati,-4.22,35.75,57.54,85,15,2.75,TZ,1598045582
318,kavieng,-2.57,150.8,83.32,74,0,8.52,PG,1598045582
319,alta floresta,-9.88,-56.09,86.0,37,0,5.82,BR,1598045551
320,ostrovnoy,68.05,39.51,53.83,90,69,5.93,RU,1598045583
321,karratha,-20.74,116.85,69.94,32,0,9.15,AU,1598045583
322,fortuna,40.6,-124.16,79.0,70,23,4.0,US,1598045583
323,tasiilaq,65.61,-37.64,44.6,65,13,9.17,GL,1598045584
324,omsukchan,62.53,155.8,39.11,89,100,7.45,RU,1598045585
325,thenzawl,23.32,92.75,66.45,100,98,1.23,IN,1598045585
326,warri,5.52,5.75,74.57,92,95,3.15,NG,1598045585
327,ribeira grande,38.52,-28.7,71.6,73,75,3.36,PT,1598045585
328,dunedin,-45.87,170.5,46.99,93,79,5.99,NZ,1598045586
329,tukrah,32.53,20.58,77.77,72,0,13.96,LY,1598045586
330,mount isa,-20.73,139.5,59.0,30,55,9.17,AU,1598045586
331,kruisfontein,-34.0,24.73,51.01,91,98,1.01,ZA,1598045586
332,ahipara,-35.17,173.17,59.9,80,0,6.69,NZ,1598045586
333,lamtah,35.67,10.88,86.0,79,0,12.75,TN,1598045587
334,kuching,1.55,110.33,77.0,94,40,2.24,MY,1598045587
335,bogorodskoye,56.55,37.88,53.13,90,0,3.76,RU,1598045587
336,bengkulu,-3.8,102.27,75.27,85,80,4.38,ID,1598045587
337,sitka,57.05,-135.33,60.8,82,75,4.38,US,1598045587
338,noshiro,40.2,140.02,73.92,83,65,1.95,JP,1598045587
339,ialibu,-6.28,143.99,59.11,88,21,1.59,PG,1598045587
340,codrington,-38.27,141.97,46.65,81,80,17.36,AU,1598045588
341,hasaki,35.73,140.83,77.0,100,75,2.24,JP,1598045588
342,nuuk,64.18,-51.72,42.8,93,90,9.17,GL,1598045398
343,worthington,40.09,-83.02,86.0,48,75,3.36,US,1598045588
344,klaksvik,62.23,-6.59,51.8,93,83,16.11,FO,1598045588
345,trinidad,-14.83,-64.9,59.0,54,90,10.29,BO,1598045588
346,belturbet,54.1,-7.45,59.0,79,46,4.0,IE,1598045589
347,quesnel,53.0,-122.5,60.8,93,90,2.24,CA,1598045589
348,hov,60.7,10.35,62.01,98,83,11.25,NO,1598045589
349,banda aceh,5.56,95.32,79.56,78,100,1.86,ID,1598045589
350,severo-yeniseyskiy,60.37,93.04,49.08,99,94,2.35,RU,1598045589
351,keti bandar,24.14,67.45,83.7,84,100,4.97,PK,1598045589
352,hailun,47.45,126.93,55.04,81,9,5.75,CN,1598045590
353,sassandra,4.95,-6.08,75.24,84,46,7.87,CI,1598045590
354,beloha,-25.17,45.05,60.33,82,20,7.4,MG,1598045478
355,tahta,26.77,31.5,87.8,31,0,6.93,EG,1598045590
356,ivankiv,50.94,29.89,64.4,100,7,8.95,UA,1598045590
357,adria,45.06,12.06,75.0,79,0,1.99,IT,1598045590
358,mahibadhoo,3.78,72.97,83.39,64,73,3.02,MV,1598045591
359,vao,-22.67,167.48,71.13,74,19,6.11,NC,1598045591
360,eureka,40.8,-124.16,77.0,29,16,5.01,US,1598045303
361,severo-kurilsk,50.68,156.12,55.09,72,38,9.69,RU,1598045591
362,vardo,70.37,31.11,53.6,100,75,8.05,NO,1598045591
363,gat,31.61,34.76,79.0,77,1,2.75,IL,1598045592
364,nelson bay,-32.72,152.15,54.0,66,90,14.99,AU,1598045592
365,usinsk,65.99,57.53,45.77,96,49,10.69,RU,1598045592
366,srednekolymsk,67.45,153.68,41.92,68,100,14.12,RU,1598045592
367,sandpoint,48.28,-116.55,84.99,28,1,3.36,US,1598045408
368,bilokurakyne,49.53,38.73,65.98,49,100,6.11,UA,1598045592
369,tevriz,57.51,72.4,50.16,97,62,3.58,RU,1598045592
370,cabo rojo,18.09,-67.15,87.01,78,78,1.01,PR,1598045593
371,kungurtug,50.6,97.52,44.6,84,2,1.66,RU,1598045593
372,necochea,-38.55,-58.74,48.99,75,0,1.99,AR,1598045593
373,samarai,-10.62,150.67,77.56,77,99,8.3,PG,1598045593
374,havelock,34.88,-76.9,82.4,74,75,9.17,US,1598045593
375,sulangan,11.14,123.72,83.48,76,69,6.31,PH,1598045594
376,constitucion,-35.33,-72.42,55.8,71,0,5.48,CL,1598045594
377,esso,55.93,158.7,49.55,73,100,3.56,RU,1598045594
378,broome,42.25,-75.83,82.99,42,20,5.82,US,1598045594
379,wasilla,61.58,-149.44,71.6,43,1,6.93,US,1598045594
380,barsovo,61.17,73.17,57.2,100,40,4.47,RU,1598045594
381,alugan,12.22,125.48,80.44,84,43,7.0,PH,1598045594
382,vestmanna,62.16,-7.17,51.8,93,82,16.11,FO,1598045595
383,san quintin,30.48,-115.95,81.16,59,99,5.93,MX,1598045595
384,naze,28.37,129.48,77.0,94,45,3.36,JP,1598045595
385,redlands,34.06,-117.18,107.6,17,40,6.93,US,1598045595
386,mezen,65.85,44.24,54.61,95,88,4.36,RU,1598045595
387,touros,-5.2,-35.46,77.0,83,20,9.17,BR,1598045595
388,bani walid,31.76,13.99,72.64,73,0,5.46,LY,1598045596
389,qaqortoq,60.72,-46.03,57.2,44,5,6.93,GL,1598045596
390,sovetsk,55.08,21.88,68.79,71,98,7.65,RU,1598045596
391,agidel,55.91,53.94,51.06,94,94,7.34,RU,1598045596
392,opuwo,-18.06,13.84,54.23,32,47,6.13,NA,1598045596
393,verkhoyansk,67.54,133.38,41.58,74,92,7.18,RU,1598045596
394,bereda,43.27,-7.54,60.01,88,0,5.01,ES,1598045597
395,narsaq,60.92,-46.05,57.2,44,5,6.93,GL,1598045597
396,barranca,-10.75,-77.77,62.96,75,91,8.3,PE,1598045597
397,shubarshi,48.59,57.19,61.18,51,0,7.54,KZ,1598045597
398,kavaratti,10.57,72.64,81.64,81,100,11.43,IN,1598045597
399,polson,47.69,-114.16,90.0,45,0,0.76,US,1598045598
400,tucurui,-3.77,-49.67,83.32,43,43,0.43,BR,1598045598
401,leh,34.17,77.58,58.39,37,13,5.82,IN,1598045598
402,puerto colombia,10.99,-74.95,89.6,70,40,5.82,CO,1598045598
403,odweyne,9.41,45.06,75.49,55,67,14.56,SO,1598045598
404,arkhipo-osipovka,44.37,38.52,72.59,61,43,14.9,RU,1598045598
405,ilam,26.92,87.92,65.79,95,97,3.38,NP,1598045598
406,namatanai,-3.67,152.43,81.27,79,1,5.06,PG,1598045599
407,anzio,41.49,12.62,78.01,88,5,3.36,IT,1598045599
408,jinchang,38.5,102.17,67.05,57,58,0.81,CN,1598045599
409,quelimane,-17.88,36.89,68.38,82,47,8.21,MZ,1598045599
410,crotone,39.09,17.12,79.47,52,0,4.34,IT,1598045599
411,aasiaat,68.71,-52.87,43.2,66,1,3.02,GL,1598045600
412,nome,64.5,-165.41,55.0,81,90,9.17,US,1598045392
413,swan river,52.11,-101.27,63.55,91,100,13.91,CA,1598045600
414,merauke,-8.47,140.33,74.39,83,3,10.74,ID,1598045600
415,saulkrasti,57.26,24.41,66.2,82,87,9.17,LV,1598045600
416,puerto lopez,4.08,-72.96,82.29,82,91,4.88,CO,1598045600
417,puerto leguizamo,-0.19,-74.78,79.14,93,33,3.29,CO,1598045600
418,tupiza,-21.45,-65.72,61.52,18,93,17.76,BO,1598045600
419,isangel,-19.55,169.27,75.2,94,90,7.67,VU,1598045601
420,quime,-16.98,-67.22,52.18,59,90,2.48,BO,1598045601
421,pontianak,-0.03,109.33,75.99,94,91,2.24,ID,1598045601
422,laguna de perlas,12.34,-83.67,87.8,66,40,4.7,NI,1598045601
423,manaus,-3.1,-60.02,95.0,52,20,3.36,BR,1598045601
424,la ronge,55.1,-105.28,68.0,68,75,14.99,CA,1598045601
425,poyarkovo,49.6,128.68,63.12,65,47,9.75,RU,1598045602
426,zhumadian,32.98,114.03,70.68,98,95,5.44,CN,1598045602
427,dhidhdhoo,6.88,73.1,83.1,68,92,4.54,MV,1598045602
428,saint-benoit,-21.04,55.72,66.2,68,20,6.93,RE,1598045602
429,coquimbo,-29.95,-71.34,53.6,81,0,11.41,CL,1598045602
430,minas novas,-17.22,-42.59,72.77,60,64,6.55,BR,1598045603
431,saint-prosper,46.21,-70.48,70.0,100,73,3.71,CA,1598045603
432,vrangel,42.73,133.08,63.05,71,24,3.15,RU,1598045604
433,nhulunbuy,-12.23,136.77,66.2,93,3,8.97,AU,1598045604
434,khandyga,62.67,135.6,48.22,52,12,3.62,RU,1598045605
435,nieuw nickerie,5.95,-56.98,81.5,83,72,13.65,SR,1598045605
436,carmen,18.63,-91.83,87.8,62,40,9.17,MX,1598045512
437,charlottesville,38.03,-78.48,80.6,65,40,3.36,US,1598045499
438,trapani,37.83,12.67,78.01,88,0,5.82,IT,1598045606
439,banepa,27.63,85.52,69.8,94,40,4.7,NP,1598045606
440,kampene,-3.6,26.67,71.6,86,98,1.9,CD,1598045606
441,araouane,18.9,-3.53,100.85,16,5,2.64,ML,1598045606
442,adelanto,34.58,-117.41,102.99,11,5,4.7,US,1598045606
443,makakilo city,21.35,-158.09,87.8,48,75,9.17,US,1598045606
444,luwuk,-0.95,122.79,75.85,73,44,4.45,ID,1598045607
445,kharan,28.58,65.42,89.94,43,96,13.89,PK,1598045411
446,okakarara,-20.58,17.43,46.65,45,8,3.71,NA,1598045607
447,northam,51.03,-4.22,62.01,89,21,5.99,GB,1598045607
448,empalme,27.97,-110.82,93.2,63,40,16.11,MX,1598045607
449,tigil,57.8,158.67,49.84,93,100,12.93,RU,1598045608
450,qujing,25.48,103.78,61.72,91,77,3.87,CN,1598045608
451,huanren,41.26,125.37,65.66,93,66,2.59,CN,1598045608
452,hoopstad,-27.83,25.91,42.48,50,0,4.76,ZA,1598045608
453,talnakh,69.49,88.4,55.4,93,100,6.71,RU,1598045608
454,hami,42.8,93.45,76.26,24,66,3.98,CN,1598045608
455,santiago,-33.46,-70.65,75.2,15,0,4.7,CL,1598045463
456,xuanhua,40.61,115.04,61.18,82,65,3.53,CN,1598045609
457,pedernales,18.04,-71.74,91.4,63,40,18.34,DO,1598045609
458,reconquista,-29.15,-59.65,50.02,46,0,3.13,AR,1598045609
459,bowen,-20.02,148.23,61.0,93,0,3.36,AU,1598045609
460,guaruja,-23.99,-46.26,57.2,87,90,8.05,BR,1598045429
461,zemio,5.03,25.14,69.98,94,71,3.0,CF,1598045610
462,kauhajoki,62.43,22.18,63.0,77,90,5.82,FI,1598045610
463,acarau,-2.89,-40.12,78.19,82,5,13.0,BR,1598045610
464,romulus,42.22,-83.4,89.6,33,1,5.82,US,1598045610
465,veraval,20.9,70.37,81.61,86,100,14.67,IN,1598045610
466,laguna,38.42,-121.42,87.8,35,90,4.7,US,1598045610
467,rancho palos verdes,33.74,-118.39,82.0,74,40,8.05,US,1598045522
468,sur,22.57,59.53,82.67,70,100,11.5,OM,1598045611
469,diffa,13.32,12.61,81.12,64,54,7.83,NE,1598045611
470,pangody,65.85,74.49,49.08,89,1,6.24,RU,1598045611
471,port lincoln,-34.73,135.87,49.24,65,2,20.58,AU,1598045611
472,stuttgart,48.78,9.18,79.0,57,0,5.82,DE,1598045611
473,kralendijk,12.15,-68.27,87.8,70,40,10.29,BQ,1598045411
474,tuban,-6.9,112.06,75.07,81,91,7.47,ID,1598045612
475,hualmay,-11.1,-77.61,62.73,75,83,7.81,PE,1598045612
476,vagur,61.47,-6.81,53.22,89,93,18.99,FO,1598045612
477,mogadishu,2.04,45.34,76.37,84,99,15.68,SO,1598045612
478,robertsport,6.75,-11.37,76.98,85,98,13.33,LR,1598045612
479,santo tomas,14.11,121.14,80.01,94,38,2.24,PH,1598045612
480,da nang,16.07,108.22,77.0,94,20,2.24,VN,1598045612
481,sao marcos,-28.97,-51.07,46.99,27,0,2.91,BR,1598045613
482,san policarpo,12.18,125.51,80.96,83,54,7.25,PH,1598045613
483,nioki,-2.72,17.68,78.8,71,16,2.08,CD,1598045613
484,verkhnevilyuysk,63.45,120.32,44.22,64,0,2.37,RU,1598045613
485,olenegorsk,68.15,33.3,56.43,87,23,6.02,RU,1598045613
486,ixtapa,20.7,-105.2,89.01,70,75,6.93,MX,1598045614
487,takoradi,4.88,-1.76,74.55,91,18,8.14,GH,1598045614
488,houma,29.6,-90.72,91.99,43,40,6.93,US,1598045540
489,marquette,46.53,-87.63,71.01,88,90,1.07,US,1598045342
490,scarborough,54.28,-0.4,63.0,76,100,5.99,GB,1598045614
491,kolokani,13.57,-8.03,75.07,88,94,7.18,ML,1598045614
492,hornostayivka,47.01,33.73,76.89,53,74,14.07,UA,1598045614
493,tual,-5.67,132.75,79.05,85,28,18.1,ID,1598045615
494,bella union,-30.28,-57.6,47.25,54,0,4.45,UY,1598045615
495,sapa,5.15,120.32,82.94,74,56,8.59,PH,1598045615
496,wagar,16.15,36.2,91.98,46,93,16.31,SD,1598045615
497,kemi,65.86,24.82,59.0,100,15,4.7,FI,1598045615
498,koson,39.04,65.58,68.0,42,0,4.7,UZ,1598045615
499,cepu,-7.15,111.59,72.14,78,86,2.71,ID,1598045616
500,yabelo,4.88,38.08,60.57,73,44,7.65,ET,1598045616
501,kieta,-6.22,155.63,81.9,72,53,1.61,PG,1598045616
502,lebu,-37.62,-73.65,50.49,80,0,14.14,CL,1598045616
503,catamarca,-28.47,-65.79,66.0,24,0,5.01,AR,1598045616
504,dalby,-27.18,151.27,46.99,57,59,1.99,AU,1598045616
505,hay river,60.82,-115.8,60.8,77,75,13.87,CA,1598045617
506,naberera,-4.2,36.93,57.27,94,45,8.21,TZ,1598045617
507,xiongzhou,25.12,114.3,75.85,85,100,1.45,CN,1598045617
508,saint-augustin,51.23,-58.65,62.49,56,57,15.73,CA,1598045617
509,rehoboth,-23.32,17.08,38.77,65,0,3.22,NA,1598045617
510,yako,12.97,-2.27,71.67,88,94,27.4,BF,1598045617
511,khrebtovaya,56.7,104.25,58.84,61,100,1.59,RU,1598045617
512,lake havasu city,34.48,-114.32,105.01,24,1,10.29,US,1598045618
513,catuday,16.29,119.81,79.05,86,100,11.77,PH,1598045618
514,saint-pierre,-21.34,55.48,66.2,59,3,6.93,RE,1598045578
515,esmeraldas,-19.76,-44.31,64.4,77,75,12.75,BR,1598045618
516,trairi,-3.28,-39.27,78.3,81,1,11.36,BR,1598045618
517,taltal,-25.4,-70.48,60.58,59,18,4.29,CL,1598045618
518,yerofey pavlovich,53.97,121.97,55.74,91,79,2.28,RU,1598045618
519,pinega,64.7,43.39,55.31,94,98,4.47,RU,1598045619
520,abnub,27.27,31.15,86.0,45,0,11.41,EG,1598045619
521,suhbaatar,50.23,106.21,59.94,91,100,0.65,MN,1598045619
522,semnan,35.57,53.4,89.6,16,0,2.24,IR,1598045619
523,acapulco,16.86,-99.89,86.0,74,20,2.24,MX,1598045619
524,dickinson,29.46,-95.05,91.99,55,40,12.75,US,1598045485
525,iguatu,-6.36,-39.3,88.43,31,100,5.53,BR,1598045575
526,kayerkan,69.35,87.76,55.4,93,100,6.71,RU,1598045620
527,istisu,40.95,48.07,69.8,64,8,7.27,AZ,1598045620
528,chapais,49.78,-74.85,64.4,36,1,6.93,CA,1598045620
529,turukhansk,65.82,87.98,57.02,61,95,10.69,RU,1598045620
530,taksimo,56.34,114.88,54.21,73,90,0.81,RU,1598045620
531,ngunguru,-35.62,174.5,55.99,3,4,4.0,NZ,1598045621
532,buala,-8.14,159.59,83.23,71,94,4.43,SB,1598045621
533,byron bay,-28.65,153.62,55.0,62,46,9.17,AU,1598045621
534,wattegama,6.8,81.48,78.8,100,40,5.82,LK,1598045621
535,qingdao,36.1,120.37,71.01,94,75,4.47,CN,1598045622
536,muroto,33.28,134.15,78.8,88,40,5.82,JP,1598045622
537,maracas,-13.44,-40.43,64.83,96,7,9.31,BR,1598045622
538,nizhniy tsasuchey,50.52,115.13,64.45,84,100,4.88,RU,1598045622
539,seguela,7.96,-6.67,72.75,89,66,1.97,CI,1598045623
540,saint anthony,45.02,-93.22,89.01,52,1,11.41,US,1598045623
541,bulgan,48.81,103.53,53.08,86,75,3.71,MN,1598045624
542,coahuayana,18.73,-103.68,80.6,78,40,11.41,MX,1598045624
543,zeya,53.75,127.27,59.2,85,0,1.1,RU,1598045624
544,aswan,24.09,32.91,87.19,21,0,8.46,EG,1598045625
545,patnos,39.23,42.86,64.02,39,0,1.81,TR,1598045625
546,cap malheureux,-19.98,57.61,70.0,69,22,5.99,MU,1598045625
547,bandundu,-3.32,17.37,79.34,64,27,1.72,CD,1598045625
548,manchester,53.48,-2.24,63.0,77,90,9.17,GB,1598045352
549,cururupu,-1.83,-44.87,76.44,86,4,3.91,BR,1598045626
550,tacloban,11.24,125.01,79.7,85,96,4.21,PH,1598045626
551,campeche,19.0,-90.5,90.95,50,98,7.63,MX,1598045557
552,viedma,-40.81,-63.0,71.01,36,0,4.0,AR,1598045626
553,plover,44.46,-89.54,86.0,39,1,10.29,US,1598045626
554,port-gentil,-0.72,8.78,77.0,78,40,11.41,GA,1598045627
555,neiafu,-18.65,-173.98,80.6,83,40,11.41,TO,1598045627
556,conde,-7.26,-34.91,75.2,83,40,9.17,BR,1598045627
557,soyo,-6.13,12.37,72.7,87,47,7.83,AO,1598045627
558,muriti,-1.98,32.92,71.6,88,75,11.59,TZ,1598045627
559,mutis,6.23,-77.4,78.33,84,100,5.66,CO,1598045627
